compile time(s),type,test_n,algorithm,simd,builtin,n,median,mean,max,min,p99,p95,p90,stddev,variance
0.487,uint8_t,4,bitonic,1,0,64,11.037446,11.164731,13.351043,10.430557,13.351043,12.432152,12.301275,0.485838,0.478247
0.486,uint8_t,4,bitonic,1,1,64,11.029391,11.103459,12.221863,10.482104,12.221863,11.829693,11.748720,0.148449,0.146129
0.489,uint8_t,4,bitonic,1,2,64,11.610174,11.532789,12.757173,10.500778,12.757173,12.171824,12.027341,0.238170,0.234449
0.494,uint8_t,4,bitonic,2,0,64,11.647472,11.676826,15.652010,10.727499,15.652010,12.174023,12.087132,0.412047,0.405609
0.484,uint8_t,4,bitonic,2,1,64,10.598844,10.821507,13.620054,10.431011,13.620054,11.772151,11.451288,0.308014,0.303201
0.484,uint8_t,4,bitonic,2,2,64,11.426388,11.376470,12.317489,10.684523,12.317489,12.099420,11.993974,0.188967,0.186015
0.484,uint8_t,4,oddeven,1,0,64,11.386580,11.381820,12.169801,10.761048,12.169801,11.936781,11.622181,0.068354,0.067286
0.496,uint8_t,4,oddeven,1,1,64,11.302272,11.272997,11.965023,10.685643,11.965023,11.612844,11.543374,0.055096,0.054235
0.506,uint8_t,4,oddeven,1,2,64,11.517194,11.527357,12.083649,11.133866,12.083649,11.818872,11.695242,0.028439,0.027995
0.484,uint8_t,4,oddeven,2,0,64,11.415273,11.406349,12.148857,10.732387,12.148857,11.979702,11.790629,0.083319,0.082018
0.5,uint8_t,4,oddeven,2,1,64,11.500026,11.530164,13.749187,11.089196,13.749187,12.020644,11.853617,0.153570,0.151170
0.489,uint8_t,4,oddeven,2,2,64,11.445394,11.478334,12.121110,10.820797,12.121110,11.859358,11.808186,0.056380,0.055499
0.515,uint8_t,4,batcher,1,0,64,11.522006,11.543752,13.040099,11.039705,13.040099,11.919256,11.840802,0.089334,0.087938
0.511,uint8_t,4,batcher,1,1,64,11.275742,11.348595,13.480989,10.580498,13.480989,11.850167,11.745241,0.168849,0.166211
0.514,uint8_t,4,batcher,1,2,64,11.652626,11.634180,12.153551,11.242726,12.153551,11.984647,11.896039,0.043578,0.042897
0.518,uint8_t,4,batcher,2,0,64,11.709335,11.755083,13.404322,11.263793,13.404322,12.348783,12.164930,0.131456,0.129402
0.496,uint8_t,4,batcher,2,1,64,11.341667,11.367706,12.028442,10.913493,12.028442,11.858686,11.736095,0.059906,0.058970
0.492,uint8_t,4,batcher,2,2,64,11.277413,11.320624,11.921566,11.027057,11.921566,11.648026,11.593348,0.040928,0.040289
0.521,uint8_t,4,balanced,1,0,64,11.319544,11.312449,11.923859,10.666579,11.923859,11.670419,11.573316,0.053415,0.052580
0.496,uint8_t,4,balanced,1,1,64,11.697259,11.756136,13.525801,11.266489,13.525801,12.313439,12.205511,0.122428,0.120515
0.523,uint8_t,4,balanced,1,2,64,11.358070,11.420176,13.384295,10.673433,13.384295,11.986893,11.929462,0.183236,0.180373
0.488,uint8_t,4,balanced,2,0,64,11.513088,11.564437,13.078698,10.891748,13.078698,12.201678,11.992308,0.139061,0.136888
0.498,uint8_t,4,balanced,2,1,64,11.748851,11.843911,16.696623,11.173086,16.696623,12.780648,12.296405,0.537893,0.529488
0.503,uint8_t,4,balanced,2,2,64,11.659687,11.659676,13.051525,10.828382,13.051525,12.200637,12.166330,0.141687,0.139473
0.528,uint8_t,4,bosenelson,1,0,64,11.689727,11.727696,14.378644,11.166852,14.378644,12.138366,12.071008,0.204598,0.201402
0.507,uint8_t,4,bosenelson,1,1,64,11.386725,11.389698,11.919213,10.997303,11.919213,11.856285,11.727327,0.054853,0.053996
0.525,uint8_t,4,bosenelson,1,2,64,10.869887,10.896427,12.638137,10.558811,12.638137,11.166921,11.086520,0.084459,0.083140
0.528,uint8_t,4,bosenelson,2,0,64,11.820315,11.861901,13.355228,11.042624,13.355228,12.314099,12.188519,0.105406,0.103759
0.494,uint8_t,4,bosenelson,2,1,64,11.756907,11.768146,13.363252,11.160617,13.363252,12.229382,12.201097,0.116356,0.114538
0.492,uint8_t,4,bosenelson,2,2,64,11.818650,11.753278,12.112675,10.849130,12.112675,12.045147,11.984224,0.052346,0.051528
0.508,uint8_t,5,bitonic,1,0,64,14.019132,13.977160,14.505567,13.088969,14.505567,14.315530,14.271528,0.062933,0.061950
0.507,uint8_t,5,bitonic,1,1,64,14.143171,14.114251,16.278954,13.295941,16.278954,14.617219,14.428771,0.163057,0.160510
